relationship_status,relationship_years,sleep_freq,snores,frequent bathroom trips in the night,sick,no longer physically intimate,different temperature preferences for the room,argument/fight,not enough space,do not want to share the covers,needs to sleep with a child,night working/very different sleeping times,sleeping in separate beds helps us to stay together.,we sleep better when we sleep in separate beds.,our sex life has improved as a result of sleeping in separate beds.,Gender,Age,location
Married,More than 20 years,Once a year or less,True,False,True,False,False,False,False,False,False,False,Strongly disagree,Somewhat disagree,Strongly disagree,Male,> 60,South Atlantic
Married,More than 20 years,Every night,False,False,False,False,False,False,False,False,False,True,Strongly agree,Somewhat agree,Strongly disagree,Female,> 60,East North Central
Married,11-15 years,Once a month or less,False,False,False,False,False,False,False,False,False,False,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Female,30-44,West North Central
"Single, but cohabiting with a significant other",1-5 years,Every night,True,False,False,False,False,False,True,True,False,False,Somewhat agree,Strongly agree,Neither agree nor disagree,Female,18-29,West North Central
Married,11-15 years,A few times per week,False,False,False,False,False,False,False,False,True,False,Strongly disagree,Strongly disagree,Strongly disagree,Female,30-44,South Atlantic
In a domestic partnership or civil union,11-15 years,Every night,True,False,False,False,False,False,False,False,False,False,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Male,> 60,East North Central
Married,11-15 years,Once a year or less,False,False,True,False,False,False,False,False,False,False,Strongly disagree,Somewhat disagree,Strongly disagree,Male,> 60,East North Central
Married,More than 20 years,Once a year or less,False,False,False,False,False,True,False,False,False,False,Strongly disagree,Strongly disagree,Strongly disagree,Male,45-60,East North Central
"Single, but cohabiting with a significant other",1-5 years,A few times per week,True,False,False,False,False,False,False,False,False,False,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Female,30-44,East North Central
Married,6-10 years,Once a month or less,False,False,True,False,False,True,False,False,False,True,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Female,18-29,Pacific
Married,More than 20 years,Every night,True,False,False,False,False,False,False,False,False,False,Somewhat disagree,Somewhat agree,Somewhat agree,Female,> 60,New England
Married,11-15 years,Once a year or less,True,False,True,False,False,False,False,False,False,False,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Female,45-60,East North Central
Married,1-5 years,Once a year or less,False,False,True,False,False,True,False,False,False,False,Strongly disagree,Strongly disagree,Strongly disagree,Male,18-29,West North Central
"Single, but cohabiting with a significant other",1-5 years,Once a year or less,False,False,False,False,False,False,False,False,False,False,Strongly disagree,Strongly disagree,Strongly disagree,Female,18-29,Pacific
Married,More than 20 years,Every night,True,False,False,True,False,False,False,False,False,False,Strongly agree,Strongly agree,Neither agree nor disagree,Male,> 60,New England
Married,6-10 years,Every night,False,False,False,False,False,False,False,False,False,True,Strongly disagree,Strongly disagree,Strongly disagree,Female,30-44,Middle Atlantic
In a domestic partnership or civil union,11-15 years,A few times per month,False,False,False,False,True,False,False,False,False,False,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Male,> 60,West North Central
